Values of DeltaT = ET - UT
at 0h UT of the date (specified as day, month, year)
from The Astronomical Almanac 2005
----------------------------------------------
1 1 1800   13.7
1 1 1801   13.4
1 1 1802   13.1
1 1 1803   12.9
1 1 1804   12.7
1 1 1805   12.6
1 1 1806   12.5
1 1 1816   12.5
1 1 1817   12.4
1 1 1818   12.3
1 1 1819   12.2
1 1 1820   12.0
1 1 1821   11.7
1 1 1822   11.4
1 1 1823   11.1
1 1 1824   10.6
1 1 1825   10.2
1 1 1826    9.6
1 1 1827    9.1
1 1 1828    8.6
1 1 1829    8.0
1 1 1830    7.5
1 1 1831    7.0
1 1 1832    6.6
1 1 1833    6.3
1 1 1834    6.0
1 1 1835    5.8
1 1 1836    5.7
1 1 1837    5.6
1 1 1838    5.6
1 1 1839    5.6
1 1 1840    5.7
1 1 1841    5.8
1 1 1842    5.9
1 1 1843    6.1
1 1 1844    6.2
1 1 1845    6.3
1 1 1846    6.5
1 1 1847    6.6
1 1 1848    6.8
1 1 1849    6.9
1 1 1850    7.1
1 1 1851    7.2
1 1 1852    7.3
1 1 1853    7.4
1 1 1854    7.5
1 1 1855    7.6
1 1 1856    7.7
1 1 1857    7.7
1 1 1858    7.8
1 1 1859    7.8
1 1 1860    7.88
1 1 1861    7.82
1 1 1862    7.54
1 1 1863    6.97
1 1 1864    6.40
1 1 1865    6.02
1 1 1866    5.41
1 1 1867    4.10
1 1 1868    2.92
1 1 1869    1.82
1 1 1870    1.61
1 1 1871    0.10
1 1 1872   -1.02
1 1 1873   -1.28
1 1 1874   -2.69
1 1 1875   -3.24
1 1 1876   -3.64
1 1 1877   -4.54
1 1 1878   -4.71
1 1 1879   -5.11
1 1 1880   -5.40
1 1 1881   -5.42
1 1 1882   -5.20
1 1 1883   -5.46
1 1 1884   -5.46
1 1 1885   -5.79
1 1 1886   -5.63
1 1 1887   -5.64
1 1 1888   -5.80
1 1 1889   -5.66
1 1 1890   -5.87
1 1 1891   -6.01
1 1 1892   -6.19
1 1 1893   -6.64
1 1 1894   -6.44
1 1 1895   -6.47
1 1 1896   -6.09
1 1 1897   -5.76
1 1 1898   -4.66
1 1 1899   -3.74
1 1 1900   -2.72
1 1 1901   -1.54
1 1 1902   -0.02
1 1 1903    1.24
1 1 1904    2.64
1 1 1905    3.86
1 1 1906    5.37
1 1 1907    6.14
1 1 1908    7.75
1 1 1909    9.13
1 1 1910   10.46
1 1 1911   11.53
1 1 1912   13.36
1 1 1913   14.65
1 1 1914   16.01
1 1 1915   17.20
1 1 1916   18.24
1 1 1917   19.06
1 1 1918   20.25
1 1 1919   20.95
1 1 1920   21.16
1 1 1921   22.25
1 1 1922   22.41
1 1 1923   23.03
1 1 1924   23.49
1 1 1925   23.62
1 1 1926   23.86
1 1 1927   24.49
1 1 1928   24.34
1 1 1929   24.08
1 1 1930   24.02
1 1 1931   24.00
1 1 1932   23.87
1 1 1933   23.95
1 1 1934   23.86
1 1 1935   23.93
1 1 1936   23.73
1 1 1937   23.92
1 1 1938   23.96
1 1 1939   24.02
1 1 1940   24.33
1 1 1941   24.83
1 1 1942   25.30
1 1 1943   25.70
1 1 1944   26.24
1 1 1945   26.77
1 1 1946   27.28
1 1 1947   27.78
1 1 1948   28.25
1 1 1949   28.71
1 1 1950   29.15
1 1 1951   29.57
1 1 1952   29.97
1 1 1953   30.36
1 1 1954   30.72
1 1 1955   31.07
1 1 1956   31.35
1 1 1957   31.68
1 1 1958   32.18
1 1 1959   32.68
1 1 1960   33.15
1 1 1961   33.59
1 1 1962   34.00
1 1 1963   34.47
1 1 1964   35.03
1 1 1965   35.73
1 1 1966   36.54
1 1 1967   37.43
1 1 1968   38.29
1 1 1969   39.20
1 1 1970   40.18
1 1 1971   41.17
1 1 1972   42.23
1 1 1973   43.37
1 1 1974   44.49
1 1 1975   45.48
1 1 1976   46.46
1 1 1977   47.52
1 1 1978   48.53
1 1 1979   49.59
1 1 1980   50.54
1 1 1981   51.38
1 1 1982   52.17
1 1 1983   52.96
1 1 1984   53.79
1 1 1985   54.34
1 1 1986   54.87
1 1 1987   55.32
1 1 1988   55.82
1 1 1989   56.30
1 1 1990   56.86
1 1 1991   57.57
1 1 1992   58.31
1 1 1993   59.12
1 1 1994   59.98
1 1 1995   60.78
1 1 1996   61.63
1 1 1997   62.29
1 1 1998   62.97
1 1 1999   63.47
1 1 2000   63.83
1 1 2001   64.09
1 1 2002   64.30
1 1 2003   64.47
1 1 2004   65.
1 1 2005   66.  
1 1 2006   66.  
1 1 2007   67.  
1 1 2008   68.  
1 1 2050  114.
1 1 3000  250.
